game no.,winner name,KO counts,Damage percentages
1,BEEF,BEEF:2 Thomato:8 curt:1 postmabone:10,Thomato:559 BEEF:200 postmabone:999 curt:10
2,Thomato,Thomato:3 BEEF:2 postmabone:8 curt:9,postmabone:119 BEEF:100 Thomato:980 curt:2
3,curt,Thomato:1 BEEF:5 postmabone:7 curt:2 LONG:2,LONG:456 postmabone:119 BEEF:100 Thomato:980 curt:2
4,postmabone,Thomato:2 BEEF:3 postmabone:1 curt:3 LONG:1 sivad:4,LONG:456 sivad:890 postmabone:119 BEEF:100 Thomato:980 curt:25
5,rupa,rupa:6 BEEF:2 sivad:6,rupa:101 BEEF:257 sivad:410
6,LONG,sivad:1 rupa:0,sivad:107 rupa:314
7,LONG,LONG:2 BEEF:3,LONG:44 BEEF:125
8,BEEF,curt:9 LONG:4 Thomato:7 BEEF:0,curt:439 LONG:787 Thomato:541 BEEF:468
9,raki,Thomato:2 rupa:5 raki:2,Thomato:361 rupa:330 raki:536
10,postmabone,raki:5 postmabone:6 BEEF:4,raki:577 postmabone:606 BEEF:518
11,raki,LONG:0 postmabone:1 raki:6,LONG:110 postmabone:109 raki:216
12,LONG,BEEF:0 rupa:9 postmabone:6 sivad:6 curt:5,BEEF:373 rupa:745 postmabone:931 sivad:44 curt:388
13,postmabone,BEEF:1 LONG:3,BEEF:121 LONG:78
14,sivad,BEEF:4 Thomato:7 sivad:11 postmabone:8 rupa:11 raki:13 curt:11 LONG:11,BEEF:1519 Thomato:251 sivad:1960 postmabone:1130 rupa:2096 raki:545 curt:2197 LONG:756
15,rupa,sivad:4 rupa:6 postmabone:9 LONG:9,sivad:0 rupa:344 postmabone:568 LONG:708
16,rupa,sivad:14 LONG:5 postmabone:10 Thomato:15 rupa:0 raki:12 BEEF:16,sivad:960 LONG:1345 postmabone:949 Thomato:461 rupa:926 raki:44 BEEF:854
17,raki,raki:1 sivad:3,raki:93 sivad:0
